target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,svc,concesión_cum_s10,1,0.2
2-clases,bow,svc,martín_std_s8,1,0.2
2-clases,bow,svc,63_diff_s3,1,0.2
2-clases,bow,svc,corte interamericana_std_s8,1,0.2
2-clases,bow,svc,vínculos_delta_cum_s8,1,0.2
2-clases,bow,svc,corrupción forma_delta_cum_s8,1,0.2
2-clases,bow,svc,sexuales_mean_s8,1,0.2
2-clases,bow,svc,cnucc_cum_s8,1,0.2
2-clases,bow,svc,legal_std_s8,1,0.2
2-clases,bow,svc,funcionarios públicos_delta_cum_s8,1,0.2
2-clases,bow,svc,corte interamericana_mean_s8,1,0.2
2-clases,bow,svc,contexto_delta_cum_s8,1,0.2
2-clases,bow,svc,víctimas corrupción_std_s8,1,0.2
2-clases,bow,svc,estrategias_std_s8,1,0.2
2-clases,bow,svc,104_delta_cum_s8,1,0.2
2-clases,bow,svc,mercados_mean_s3,1,0.2
2-clases,bow,svc,cohecho pasivo_diff_s3,1,0.2
2-clases,bow,svc,público_std_s8,1,0.2
2-clases,bow,svc,económicos_delta_cum_s8,1,0.2
2-clases,bow,svc,acepta_delta_cum_s5,1,0.2
2-clases,bow,svc,continuidad_cum_s3,1,0.2
2-clases,bow,svc,comprometen_mean_s8,1,0.2
2-clases,bow,svc,obligación_delta_cum_s8,1,0.2
2-clases,bow,svc,poder judicial_std_s8,1,0.2
2-clases,bow,svc,multidimensional_cum_s9,1,0.2
2-clases,bow,svc,forma_std_s8,1,0.2
2-clases,bow,svc,debe ser_std_s8,1,0.2
2-clases,bow,svc,víctimas corrupción_diff_s8,1,0.2
2-clases,bow,svc,comprometen_std_s8,1,0.2
2-clases,bow,svc,determinado_std_s8,1,0.2
2-clases,bow,svc,acuerdo_delta_cum_s8,1,0.2
2-clases,bow,svc,corrupción manera_std_s8,1,0.2
2-clases,bow,svc,posible_delta_cum_s8,1,0.2
2-clases,bow,svc,respecto_delta_cum_s8,1,0.2
2-clases,bow,svc,contar_diff_s8,1,0.2
2-clases,bow,svc,evaluar_delta_cum_s8,1,0.2
2-clases,bow,svc,lógica_diff_s8,1,0.2
2-clases,bow,svc,estrategias_mean_s8,1,0.2
2-clases,bow,svc,materia_std_s8,1,0.2
2-clases,bow,svc,circulación_cum_s2,1,0.2
2-clases,bow,svc,expertos_delta_cum_s8,1,0.2
2-clases,bow,svc,maría_delta_cum_s8,1,0.2
2-clases,bow,svc,uso_delta_cum_s8,1,0.2
2-clases,bow,svc,públicos privados_mean_s10,1,0.2
2-clases,bow,svc,ministerio gobernación_cum_s10,1,0.2
2-clases,bow,svc,cada_mean_s8,1,0.2
2-clases,bow,svc,75_std_s8,1,0.2
2-clases,bow,svc,esfera_mean_s3,1,0.2
2-clases,bow,svc,internacionales corrupción_diff_s3,1,0.2
2-clases,bow,svc,fomentar_mean_s8,1,0.2
2-clases,bow,svc,fines_std_s8,1,0.2
2-clases,bow,svc,participan_delta_cum_s3,1,0.2
2-clases,bow,svc,persigue_cum_s9,1,0.2
2-clases,bow,svc,corrupción manera_mean_s8,1,0.2
2-clases,bow,svc,traslado_delta_cum_s8,1,0.2
2-clases,bow,svc,encomendado_diff_s8,1,0.2
2-clases,bow,svc,enfoque derechos_diff_s8,1,0.2
2-clases,bow,svc,104_diff_s8,1,0.2
2-clases,bow,svc,ministerio gobernación_cum_s9,1,0.2
2-clases,bow,svc,planeta_delta_cum_s8,1,0.2
2-clases,bow,svc,identidad_mean_s10,1,0.2
2-clases,bow,svc,materia_diff_s8,1,0.2
2-clases,bow,svc,reciben_cum_s4,1,0.2
2-clases,bow,svc,pueda ser_delta_cum_s8,1,0.2
2-clases,bow,svc,legal_mean_s8,1,0.2
2-clases,bow,svc,cnucc_cum_s9,1,0.2
2-clases,bow,svc,75_mean_s8,1,0.2
2-clases,bow,svc,privados_std_s8,1,0.2
2-clases,bow,svc,programa_std_s8,1,0.2
2-clases,bow,svc,conscientes_delta_cum_s8,1,0.2
2-clases,bow,svc,económicos_std_s8,1,0.2
2-clases,bow,svc,actúe_delta_cum_s10,1,0.2
2-clases,bow,svc,acciones_mean_s8,1,0.2
2-clases,bow,svc,asumir_mean_s8,1,0.2
2-clases,bow,svc,relevantes_delta_cum_s8,1,0.2
2-clases,bow,svc,convention_cum_s7,1,0.2
2-clases,bow,svc,tema corrupción_diff_s8,1,0.2
2-clases,bow,svc,identidad_delta_cum_s10,1,0.2
2-clases,bow,svc,locales_mean_s8,1,0.2
2-clases,bow,svc,saca_cum_s10,1,0.2
2-clases,bow,svc,entender_delta_cum_s8,1,0.2
2-clases,bow,svc,internacionales_mean_s3,1,0.2
2-clases,bow,svc,forma_delta_cum_s8,1,0.2
