target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
4-clases,forms,svc,18,18,4,2,0.6111111111111112,0.055555555555555525,0.5738095238095238,0.05714285714285716,"[0.6666666666666666, 0.5555555555555556]","[0.6309523809523809, 0.5166666666666666]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}]"
4-clases,robertuito,logreg,18,420,4,2,0.2222222222222222,0.1111111111111111,0.175,0.075,"[0.3333333333333333, 0.1111111111111111]","[0.25, 0.1]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 15}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 20}]"
4-clases,robertuito,svc,18,420,4,2,0.3333333333333333,0.0,0.26666666666666666,0.04166666666666667,"[0.3333333333333333, 0.3333333333333333]","[0.30833333333333335, 0.225]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 15}]"
4-clases,bow,logreg,18,10,4,2,0.5,0.05555555555555558,0.42083333333333334,0.1291666666666667,"[0.5555555555555556, 0.4444444444444444]","[0.55, 0.29166666666666663]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
4-clases,bow,svc,18,10,4,2,0.38888888888888884,0.05555555555555555,0.32142857142857145,0.07142857142857145,"[0.3333333333333333, 0.4444444444444444]","[0.25, 0.3928571428571429]","[{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
2-clases,forms,logreg,18,18,2,3,0.8333333333333334,0.13608276348795434,0.8178571428571427,0.15328045524196382,"[0.8333333333333334, 0.6666666666666666, 1.0]","[0.8285714285714285, 0.625, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,forms,svc,18,18,2,3,0.7222222222222222,0.07856742013183865,0.6928571428571427,0.09596449173246,"[0.6666666666666666, 0.6666666666666666, 0.8333333333333334]","[0.625, 0.625, 0.8285714285714285]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}]"
2-clases,robertuito,logreg,18,420,2,3,0.5555555555555555,0.15713484026367722,0.425,0.1541103500742244,"[0.6666666666666666, 0.3333333333333333, 0.6666666666666666]","[0.625, 0.25, 0.4]","[{'clf__C': 1, 'clf__class_weight': None, 'select__k': 15}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,robertuito,svc,18,420,2,3,0.5,0.0,0.43492063492063493,0.07183306983482393,"[0.5, 0.5, 0.5]","[0.48571428571428577, 0.48571428571428577, 0.33333333333333326]","[{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 20}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 20}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}]"
2-clases,bow,logreg,18,10,2,3,0.9444444444444445,0.0785674201318386,0.9428571428571427,0.08081220356417688,"[0.8333333333333334, 1.0, 1.0]","[0.8285714285714285, 1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 10}]"
